KOD,TYPE,FİYAT
4300849,J'ADORE,73.1
4073604,J'ADORE L'ABSOLU,70.95
4123496,J'ADORE L'OR,74.175
4342800,JOY BY DIOR,69.875
4118854,LA COLLECTION COUTURIER PARFUMEUR GRANVILLE,70.95
4335604,LA COLLECTION PRIVEE CUIR CANNAGE,69.875
4298067,LA COLLECTION PRIVEE NEW LOOK 1947,69.875
4014826,LILY,58.05
4035480,MIDNIGHT CHARM,59.125
4041029,MIDNIGHT POISON,73.1
4145175,MISS CHERIE L'EAU,66.64999999999999
4043670,MISS DIOR,77.39999999999999
4095371,MISS DIOR BLOOMING BOUQUET,66.64999999999999
4460913,MISS DIOR N'ROSES,75.25
4360151,POISON,64.5
4235538,POISON GIRL,73.1
4685511,PURE POISON,103.2
4900770,REMEMBER ME,45.15
4488190,MISS DIOR 2021,74.175
4020958,CINDIRELLA FEMININE,52.675
4041147,HAPPY,64.5
4014248,HAPPY HEART,45.15
4087086,HAPPY IN BLOOM 2013,67.725
4020234,HAPPY TO BE,53.75
4017720,SIMPLY,51.59999999999999
4524728,X FOR WOMAN,69.875
4026327,4 L'EMPIREEUR,83.85
4084872,COMA WHITE,69.875
4040437,COSTUS 21,84.925
4118367,POP COLLECTION,80.625
4084293,SCENT INTENSE,69.875
4268592,AVENTUS FOR HER,88.14999999999999
4303789,FLEURS DE GARDENIA,66.64999999999999
4259018,LOWE IN BLACK,73.1
4359038,LOWE IN WHITE,73.1
4256127,ROYAL PRINCESS OUD,75.25
4536749,WIND FLOWERS,73.1
4025277,COOL WATER GAME,55.9
4031015,COOL WATER WAVE,54.825
4324076,COOL WATER WOMEN,67.725
4018469,ECHO WOMAN,51.59999999999999
4068686,DIESEL FUEL FOR LIFE DENIM COLL. FEMME,69.875
4036965,DIESEL FUEL FOR LIFE WOMEN,75.25
4016558,DIESEL PLUS PLUS FEMININE,52.675
4530248,FUEL FOR LIFE UNLIMITED ,64.5
4048981,10 LA RUE DE LA FORTUNE,75.25
4046695,18 LA LUNE,66.64999999999999
4259666,3 L'IMPERATRICE ,75.25
4014084,CECILE,45.15
4117493,DOLCE,73.1
4026673,DOLCE &  GABBANA FEMME,45.15
4186552,DOLCE FLORAL DROPS,68.8
4031928,DOLPHIN FEMININE,58.05
4081649,DOLPHIN POUR FEMME 2012,73.1
4045509,DOLPHIN WOMEN ,59.125
4040553,L'EAU THE ONE,66.64999999999999
4074507,LIGHT BLUE DREAMING IN PORTOFINO,75.25
4115429,POUR FEMME INTENSE,66.64999999999999
4048083,ROSE THE ONE,66.64999999999999
4234568,THE ONE,75.25
4086794,THE ONE DESIRE,67.725
4091972,THE ONE LACE EDITION,68.8
4122654,VELVET DESIRE,68.8
4530249,FRAGRANCE DOP 48892-EG,64.5
4536332,LIGHT BLUE ITALIAN POUR FEMME,73.1
4312038,BE DELICIOUS,66.64999999999999
4461635,BE TEMPTED,70.95
4037259,CASHMERE MIST,61.275
4900787,DONNA KARAN,47.3
4043512,DONNA KARAN BE DELICIOUS FRESH BLOSSOM,59.125
4093645,DONNA KARAN CITY,70.95
4059979,DONNA KARAN DELICIOUS CANDY APPLES JUICY BERRY,62.34999999999999
4051653,DONNA KARAN DELICIOUS CANDY APPLES-SWEET CARAMEL,73.1
4036733,DONNA KARAN DELICIOUS NIGHT,66.64999999999999
4142122,DONNA KARAN My NY,74.175
4025540,DONNA KARAN RED DELICIOUS,50.525
4066418,GOLDEN DELICIOUS,66.64999999999999
4051465,PURE DONNA KARAN,66.64999999999999
4122191,SHE WOOD,79.55
4533593,LE PARFUM ROYAL,64.5
4022650,AFTER FIVE FIFTH AVENUE,51.59999999999999
4011293,ARDENBEAUTY,45.15
4333276,GREEN TEA,62.34999999999999
4035418,GREEN TEA SUMMER,53.75
4068087,LE PARFUM,72.02499999999999
4019608,PROVOCATIVE,54.825
